id,start_date,end_date,guest_id,total
1,2021-01-21,2021-01-23,675,688
2,2020-08-17,2020-08-22,326,1720
3,2020-09-13,2020-09-20,802,2580
4,2020-11-15,2020-11-19,605,1462
5,2021-03-04,2021-03-10,130,2236
6,2021-04-23,2021-04-24,356,344
7,2021-06-26,2021-06-30,45,1548
8,2021-02-04,2021-02-06,594,688
9,2021-02-28,2021-03-02,112,774
10,2020-12-25,2020-12-31,823,2236
11,2020-10-25,2020-10-28,498,1118
12,2020-10-05,2020-10-08,262,1032
13,2021-06-02,2021-06-08,932,2236
14,2021-04-02,2021-04-06,937,1548
