id,start_date,end_date,guest_id,total
1,2020-10-07,2020-10-11,448,1449.25
2,2021-04-15,2021-04-21,529,2216.50
3,2020-10-28,2020-11-03,512,2216.50
4,2021-05-24,2021-05-28,235,1364
5,2021-03-14,2021-03-18,685,1449.25
6,2021-05-20,2021-05-23,9,1108.25
7,2021-03-19,2021-03-24,629,1875.50
8,2020-09-25,2020-09-29,962,1534.50
9,2021-04-06,2021-04-13,118,2557.50
10,2021-03-10,2021-03-14,172,1449.25
11,2021-01-26,2021-01-29,757,1023
12,2021-02-05,2021-02-06,869,341
13,2020-11-07,2020-11-10,801,1193.50
14,2020-11-24,2020-11-27,329,1023
15,2021-01-08,2021-01-09,616,341
16,2020-11-10,2020-11-13,30,1023
17,2020-12-15,2020-12-16,898,341
18,2021-05-04,2021-05-08,57,1364
19,2021-06-06,2021-06-09,825,1108.25
20,2021-06-15,2021-06-16,301,341
