id,start_date,end_date,guest_id,total
1,2020-09-19,2020-09-25,947,2132
2,2021-06-02,2021-06-03,389,328
3,2021-02-14,2021-02-21,81,2460
4,2020-10-20,2020-10-25,141,1722
5,2021-05-19,2021-05-25,39,2132
6,2020-08-31,2020-09-05,361,1640
7,2021-04-27,2021-04-29,338,656
8,2021-02-02,2021-02-08,906,2132
9,2021-04-03,2021-04-06,81,1148
10,2021-02-27,2021-03-03,231,1476
11,2021-04-13,2021-04-19,160,2132
12,2021-03-06,2021-03-12,814,2132
13,2021-03-23,2021-03-26,430,984
14,2021-01-22,2021-01-23,170,328
15,2020-08-19,2020-08-22,581,984
16,2020-09-08,2020-09-09,38,328
