id,start_date,end_date,guest_id,total
1,2021-07-19,2021-07-20,855,198
2,2021-05-03,2021-05-08,956,990
3,2021-05-29,2021-06-05,666,1485.0
4,2021-03-19,2021-03-22,268,693.0
5,2021-04-22,2021-04-24,771,396
6,2020-12-10,2020-12-12,637,396
7,2021-07-11,2021-07-14,751,643.5
8,2020-07-25,2020-07-29,666,891.0
9,2021-03-11,2021-03-17,620,1287.0
10,2020-09-15,2020-09-20,103,1039.5
11,2021-06-26,2021-07-02,974,1287.0
12,2021-01-12,2021-01-17,579,1039.5
13,2021-02-03,2021-02-07,444,841.5
14,2020-11-22,2020-11-28,997,1237.5
