id,start_date,end_date,guest_id,total
1,2020-10-21,2020-10-27,261,2587.0
2,2021-05-03,2021-05-06,804,1194
3,2021-05-10,2021-05-15,855,1990
4,2020-11-21,2020-11-22,396,497.5
5,2020-08-21,2020-08-22,939,398
6,2021-04-28,2021-04-29,835,398
7,2020-10-18,2020-10-20,460,895.5
8,2020-09-18,2020-09-19,976,398
9,2021-03-19,2021-03-25,285,2587.0
10,2021-02-14,2021-02-20,987,2487.5
11,2021-01-16,2021-01-23,379,2985.0
12,2021-04-10,2021-04-17,172,2985.0
13,2021-01-23,2021-01-29,817,2587.0
14,2021-04-29,2021-05-02,367,1293.5
15,2021-07-15,2021-07-22,431,2985.0
16,2021-03-30,2021-04-05,987,2587.0
17,2020-10-05,2020-10-06,262,398
18,2020-12-28,2020-12-31,466,1194
