id,start_date,end_date,guest_id,total
1,2020-08-31,2020-09-03,78,1431
2,2021-02-13,2021-02-16,85,1669.50
3,2021-01-22,2021-01-23,148,477
4,2020-10-09,2020-10-11,689,1073.25
5,2021-05-09,2021-05-16,106,3577.50
6,2021-03-26,2021-03-30,41,2146.50
7,2021-06-17,2021-06-20,903,1550.25
8,2020-10-26,2020-11-02,390,3577.50
9,2020-11-20,2020-11-22,206,1073.25
10,2020-08-13,2020-08-17,576,2146.50
11,2021-01-08,2021-01-10,616,1073.25
12,2021-01-10,2021-01-17,154,3577.50
13,2020-12-15,2020-12-21,192,3100.50
