id,start_date,end_date,guest_id,total
1,2020-11-11,2020-11-12,538,473
2,2021-02-23,2021-02-24,738,473
3,2020-10-18,2020-10-19,43,591.25
4,2021-06-10,2021-06-14,199,2128.50
5,2021-04-07,2021-04-10,577,1419
6,2020-10-05,2020-10-11,14,2956.25
7,2020-08-11,2020-08-18,775,3547.50
8,2021-05-16,2021-05-20,934,2010.25
9,2021-01-12,2021-01-19,741,3547.50
10,2021-06-23,2021-06-29,672,3074.50
11,2020-11-20,2020-11-22,133,1064.25
12,2021-06-01,2021-06-03,458,946
13,2020-12-09,2020-12-15,348,3074.50
14,2021-07-16,2021-07-23,925,3547.50
15,2020-10-24,2020-10-29,29,2601.50
