id,start_date,end_date,guest_id,total
1,2021-06-12,2021-06-14,329,952.50
2,2021-05-09,2021-05-13,510,1619.25
3,2021-02-20,2021-02-22,213,952.50
4,2021-03-31,2021-04-05,59,2095.50
5,2020-11-01,2020-11-04,204,1238.25
6,2021-05-20,2021-05-21,985,381
7,2021-01-25,2021-01-26,494,381
8,2021-04-10,2021-04-12,233,952.50
9,2020-10-07,2020-10-12,83,2095.50
10,2021-03-07,2021-03-08,926,476.25
11,2020-07-29,2020-08-03,442,2095.50
12,2020-12-03,2020-12-06,147,1238.25
13,2021-04-22,2021-04-27,482,2095.50
14,2020-12-19,2020-12-26,997,2857.50
15,2021-02-11,2021-02-14,630,1238.25
16,2020-10-26,2020-10-28,104,762
17,2021-04-27,2021-04-28,355,381
18,2021-06-07,2021-06-09,107,762
