id,start_date,end_date,guest_id,total
1,2021-03-22,2021-03-24,65,860
2,2020-08-12,2020-08-18,783,2795.0
3,2021-02-08,2021-02-13,822,2150
4,2021-05-14,2021-05-16,660,967.5
5,2020-10-20,2020-10-27,270,3225.0
6,2020-12-30,2021-01-06,585,3225.0
7,2021-06-28,2021-07-02,801,1720
8,2020-09-20,2020-09-26,778,2687.5
9,2020-09-02,2020-09-07,755,2365.0
10,2021-06-24,2021-06-25,721,430
11,2021-05-01,2021-05-03,405,1075.0
12,2021-01-11,2021-01-13,422,860
13,2021-01-14,2021-01-21,857,3225.0
14,2021-03-29,2021-04-04,676,2687.5
15,2021-01-30,2021-02-02,812,1505.0
