id,start_date,end_date,guest_id,total
1,2021-02-05,2021-02-07,901,873
2,2021-06-09,2021-06-12,573,1164
3,2020-12-07,2020-12-10,279,1164
4,2020-09-03,2020-09-04,543,388
5,2021-05-12,2021-05-15,305,1164
6,2021-05-27,2021-05-28,429,388
7,2021-05-04,2021-05-05,321,388
8,2020-10-31,2020-11-01,556,485
9,2021-05-10,2021-05-11,699,388
10,2021-04-25,2021-05-01,878,2425
11,2020-10-08,2020-10-12,187,1746
12,2021-01-07,2021-01-12,8,2134
13,2020-12-26,2020-12-30,767,1746
14,2021-01-27,2021-02-03,101,2910
15,2021-02-11,2021-02-16,276,2134
16,2020-08-21,2020-08-28,689,2910
17,2020-09-21,2020-09-28,576,2910
18,2021-05-15,2021-05-20,955,2134
19,2020-11-25,2020-11-26,686,388
