id,start_date,end_date,guest_id,total
1,2021-04-17,2021-04-20,142,1536.50
2,2020-12-26,2020-12-28,1000,1097.50
3,2020-11-05,2020-11-12,117,3292.50
4,2020-11-30,2020-12-06,572,2743.75
5,2021-01-07,2021-01-10,184,1426.75
6,2021-05-17,2021-05-19,947,878
7,2021-04-21,2021-04-26,839,2414.50
8,2020-10-14,2020-10-17,328,1317
9,2021-07-04,2021-07-11,416,3292.50
10,2020-09-12,2020-09-15,283,1536.50
11,2020-07-27,2020-08-01,424,2195
12,2021-01-23,2021-01-29,328,2853.50
13,2021-04-03,2021-04-10,732,3292.50
