id,start_date,end_date,guest_id,total
1,2021-07-01,2021-07-03,849,264
2,2021-05-05,2021-05-06,43,132
3,2021-03-01,2021-03-05,975,528
4,2021-01-31,2021-02-03,718,429
5,2021-03-27,2021-04-02,743,858
6,2020-07-22,2020-07-26,556,561
7,2020-10-06,2020-10-09,548,396
8,2021-02-16,2021-02-23,92,990
9,2021-03-06,2021-03-08,337,330
10,2020-09-07,2020-09-08,90,132
11,2020-12-21,2020-12-25,419,528
12,2021-07-17,2021-07-22,979,726
13,2021-04-16,2021-04-22,875,858
14,2020-08-27,2020-08-31,585,594
15,2021-07-10,2021-07-13,229,462
16,2020-11-26,2020-12-02,640,858
17,2020-09-20,2020-09-27,461,990
18,2020-08-11,2020-08-18,989,990
19,2021-05-03,2021-05-05,729,264
