id,start_date,end_date,guest_id,total
1,2020-08-23,2020-08-25,371,623.25
2,2020-09-18,2020-09-25,242,2077.50
3,2021-05-07,2021-05-13,604,1800.50
4,2020-08-10,2020-08-16,792,1731.25
5,2020-12-04,2020-12-10,415,1800.50
6,2021-01-07,2021-01-12,845,1523.50
7,2020-10-08,2020-10-15,194,2077.50
8,2020-08-28,2020-09-03,207,1800.50
9,2021-02-08,2021-02-11,995,831
10,2021-03-04,2021-03-06,141,554
11,2021-01-26,2021-01-30,318,1108
12,2021-05-31,2021-06-05,93,1385
13,2020-10-16,2020-10-23,695,2077.50
14,2020-11-01,2020-11-05,831,1177.25
