id,start_date,end_date,guest_id,total
1,2021-03-23,2021-03-29,133,1274
2,2020-12-16,2020-12-19,789,588
3,2021-04-20,2021-04-25,430,1029
4,2020-10-09,2020-10-15,336,1274
5,2021-01-08,2021-01-09,894,196
6,2021-05-28,2021-06-04,61,1470
7,2021-03-29,2021-03-30,656,196
8,2020-09-24,2020-09-25,916,196
9,2021-06-28,2021-07-05,446,1470
10,2021-07-15,2021-07-16,913,196
11,2021-01-30,2021-01-31,166,245
12,2020-12-12,2020-12-13,25,245
13,2021-04-13,2021-04-15,623,392
14,2020-09-25,2020-09-30,62,1078
15,2020-12-25,2020-12-27,134,441
16,2021-07-09,2021-07-12,276,686
